Level,Angle,Score,State,Pigs,
1,0.008726646259971648,0,PLAYING,543.0,296.0,
1,0.017453292519943295,0,PLAYING,542.5,295.0,
1,0.026179938779914945,0,PLAYING,543.0,296.0,
1,0.03490658503988659,0,PLAYING,543.0,296.0,
1,0.04363323129985824,0,PLAYING,543.0,296.0,
1,0.05235987755982988,0,PLAYING,543.0,296.0,
1,0.06108652381980153,0,PLAYING,543.0,296.0,
1,0.06981317007977318,0,PLAYING,542.5,295.0,
1,0.07853981633974483,0,PLAYING,543.0,296.0,
1,0.08726646259971647,0,PLAYING,543.0,296.0,
1,0.09599310885968812,0,PLAYING,543.0,296.0,
1,0.10471975511965977,0,PLAYING,543.0,296.0,
1,0.11344640137963141,0,PLAYING,543.0,296.0,
1,0.12217304763960306,0,PLAYING,543.0,296.0,
1,0.1308996938995747,0,PLAYING,543.0,296.0,
1,0.13962634015954636,0,PLAYING,543.0,296.0,
1,0.14835298641951802,0,PLAYING,542.5,295.0,
1,0.15707963267948968,900,PLAYING,543.0,296.0,
1,0.16580627893946134,1050,PLAYING,543.0,296.0,
1,0.174532925199433,1040,PLAYING,543.0,296.0,
1,0.18325957145940466,1030,PLAYING,543.0,296.0,
1,0.19198621771937632,1030,PLAYING,543.0,296.0,
1,0.20071286397934798,1040,PLAYING,543.0,296.0,
1,0.20943951023931964,1140,PLAYING,543.0,296.0,
1,0.2181661564992913,1130,PLAYING,543.0,296.0,
1,0.22689280275926296,30000,WON,543.0,296.0,
1,0.23561944901923462,31200,WON,543.0,296.0,
1,0.24434609527920628,28750,WON,543.0,296.0,
1,0.2530727415391779,29260,WON,543.0,296.0,
1,0.2617993877991496,29050,WON,543.0,296.0,
1,0.27052603405912123,29400,WON,543.0,296.0,
1,0.2792526803190929,29300,WON,543.0,296.0,
1,0.28797932657906455,30360,WON,543.0,296.0,
1,0.2967059728390362,30100,WON,543.0,296.0,
1,0.3054326190990079,30100,WON,543.0,296.0,
1,0.31415926535897953,31580,WON,543.0,296.0,
1,0.3228859116189512,31860,WON,543.0,296.0,
1,0.33161255787892285,32380,WON,543.0,296.0,
1,0.3403392041388945,32740,WON,543.0,296.0,
1,0.3490658503988662,34000,WON,543.0,296.0,
1,0.35779249665883783,32160,WON,543.0,296.0,
1,0.3665191429188095,31420,WON,543.0,296.0,
1,0.37524578917878115,31660,WON,543.0,296.0,
1,0.3839724354387528,31320,WON,543.0,296.0,
1,0.3926990816987245,30800,WON,543.0,296.0,
1,0.40142572795869613,30220,WON,543.0,296.0,
1,0.4101523742186678,30050,WON,543.0,296.0,
1,0.41887902047863945,30600,WON,543.0,296.0,
1,0.4276056667386111,29190,WON,543.0,296.0,
1,0.43633231299858277,28660,WON,543.0,296.0,
1,0.44505895925855443,30400,WON,543.0,296.0,
1,0.4537856055185261,27820,WON,543.0,296.0,
1,0.46251225177849775,29720,WON,543.0,296.0,
1,0.4712388980384694,30270,WON,543.0,296.0,
1,0.47996554429844107,29360,WON,543.0,296.0,
1,0.48869219055841273,30070,WON,542.5,295.0,
1,0.4974188368183844,29500,WON,543.0,296.0,
1,0.506145483078356,27990,WON,543.0,296.0,
1,0.5148721293383277,28000,WON,543.0,296.0,
1,0.5235987755982994,28280,WON,543.0,296.0,
1,0.532325421858271,29000,WON,543.0,296.0,
1,0.5410520681182427,8930,WON,543.0,296.0,
1,0.5497787143782144,8940,WON,543.0,296.0,
1,0.558505360638186,29270,WON,543.0,296.0,
1,0.5672320068981577,3380,PLAYING,543.0,296.0,
1,0.5759586531581293,27040,WON,543.0,296.0,
1,0.584685299418101,8170,WON,543.0,296.0,
1,0.5934119456780726,28970,WON,542.5,295.0,
1,0.6021385919380443,2520,PLAYING,543.0,296.0,
1,0.610865238198016,28950,WON,543.0,296.0,
1,0.6195918844579876,3490,PLAYING,543.0,296.0,
1,0.6283185307179593,3740,PLAYING,543.0,296.0,
1,0.637045176977931,1800,PLAYING,543.0,296.0,
1,0.6457718232379026,1240,PLAYING,543.0,296.0,
1,0.6544984694978743,1240,PLAYING,543.0,296.0,
1,0.6632251157578459,900,PLAYING,543.0,296.0,
1,0.6719517620178176,1270,PLAYING,543.0,296.0,
1,0.6806784082777892,900,PLAYING,543.0,296.0,
1,0.6894050545377609,0,PLAYING,543.0,296.0,
1,0.6981317007977326,0,PLAYING,543.0,296.0,
1,0.7068583470577042,0,PLAYING,543.0,296.0,
1,0.7155849933176759,0,PLAYING,543.0,296.0,
1,0.7243116395776475,0,PLAYING,543.0,296.0,
1,0.7330382858376192,0,PLAYING,543.0,296.0,
1,0.7417649320975909,0,PLAYING,543.0,296.0,
1,0.7504915783575625,0,PLAYING,543.0,296.0,
1,0.7592182246175342,0,PLAYING,543.0,296.0,
1,0.7679448708775058,0,PLAYING,543.0,296.0,
1,0.7766715171374775,0,PLAYING,543.0,296.0,
1,0.7853981633974492,0,PLAYING,543.0,296.0,
1,0.7941248096574208,0,PLAYING,543.0,296.0,
1,0.8028514559173925,0,PLAYING,543.0,296.0,
