Level,Angle,Score,State,Pigs,
1,0.8115781021773641,0,PLAYING,543.0,296.0,
1,0.8203047484373358,0,PLAYING,542.5,295.0,
1,0.8290313946973075,0,PLAYING,543.0,296.0,
1,0.8377580409572791,0,PLAYING,543.0,296.0,
1,0.8464846872172508,0,PLAYING,543.0,296.0,
1,0.8552113334772224,0,PLAYING,542.5,295.0,
1,0.8639379797371941,0,PLAYING,543.0,296.0,
1,0.8726646259971658,0,PLAYING,543.0,296.0,
1,0.8813912722571374,0,PLAYING,543.0,296.0,
1,0.8901179185171091,0,PLAYING,543.0,296.0,
1,0.8988445647770807,0,PLAYING,543.0,296.0,
1,0.9075712110370524,0,PLAYING,543.0,296.0,
1,0.9162978572970241,0,PLAYING,543.0,296.0,
1,0.9250245035569957,0,PLAYING,542.5,295.0,
1,0.9337511498169674,0,PLAYING,543.0,296.0,
1,0.942477796076939,0,PLAYING,542.5,295.0,
1,0.9512044423369107,0,PLAYING,542.5,295.0,
1,0.9599310885968824,0,PLAYING,543.0,296.0,
1,0.968657734856854,0,PLAYING,543.0,296.0,
1,0.9773843811168257,0,PLAYING,543.0,296.0,
1,0.9861110273767973,0,PLAYING,542.5,295.0,
1,0.994837673636769,0,PLAYING,543.0,296.0,
1,1.0035643198967406,0,PLAYING,543.0,296.0,
1,1.012290966156712,0,PLAYING,543.0,296.0,
1,1.0210176124166837,0,PLAYING,543.0,296.0,
1,1.0297442586766552,0,PLAYING,543.0,296.0,
1,1.0384709049366267,0,PLAYING,543.0,296.0,
1,1.0471975511965983,0,PLAYING,543.0,296.0,
