Level,Angle,Score,State,Pigs,
10,1.2228482328343218,3850,PLAYING,616.0,301.5,532.5,341.5,
10,0.6269577932245006,8540,PLAYING,616.0,301.5,532.5,341.5,
10,0.6130907715842936,15160,PLAYING,616.0,301.5,532.5,341.5,
10,0.6307801296397072,18420,PLAYING,610.5,301.5,530.0,342.0,
10,0.6596909046309973,26570,PLAYING,610.5,301.5,530.0,342.0,
10,0.6045697674965689,-1,PLAYING,611.0,301.5,
10,nan,nan,LOST,413.0,250.5,SlingEmpty,
10,1.0468769791096977,6760,PLAYING,616.5,301.5,532.5,341.5,
10,0.5922738002115389,19810,PLAYING,616.0,301.5,532.5,341.5,
10,0.6639142975937179,53320,PLAYING,616.0,301.5,
10,nan,369030,WON,SlingEmpty,
